tim_id,type,manufacturer,mpn,description,thermal_conductivity_wmk,thickness_mm,width_mm,length_mm,price_thb,weight_g
,Grease,Parker Chomerics,65-00-GEL20-0010,Thermal Gel Gap Filler 10cc Syringe,2.4,,,,1274.33,25.0
,Grease,"Shiu Li Technology Co., Ltd.",H-PUTTY-100,Thermal Silicone Putty 100 gram Cartridge,3.5,,,,1283.1,100.0
,Grease,Wakefield Thermal Solutions,127-6-10,Thermal Non-Silicone Grease 10cc Syringe,6.0,,,,1299.68,25.0
,Grease,Wakefield Thermal,127-6-10,"Thermal Interface Products Thermal Grease, High Performance, Non-Silicone, 6 W/m-K, 10cc Syringe",6.0,,,,1325.68,25.0
,Grease,Chip Quik Inc.,TC2-20G,Thermal Silicone Compound 20 gram Syringe,4.3,,,,1330.88,20.0
,Grease,Parker Chomerics,65-02-GREASE15-0030,Thermal Silicone Grease 30cc Cartridge,1.5,,,,1404.98,75.0
,Grease,Parker Chomerics,65-02-GEL35VT-0030,Thermal Silicone Gel 30cc Syringe,3.5,,,,1428.05,75.0
,Grease,Parker Chomerics,65-00-GEL50TBL-0010,Thermal Silicone Gel 10cc Syringe,5.0,,,,1436.5,25.0
,Grease,MG Chemicals,8327GF41-50CC,Thermal Silicone Gap Filler 50 ml Cartridges,4.1,,,,1451.23,125.0
,Grease,Parker Chomerics,65-02-GREASE30-0030,Thermal Silicone Grease 30cc Cartridge,3.0,,,,1478.43,75.0
,Grease,MG Chemicals,8463-7G,Thermal Silicone Grease 7 gram Syringe,0.46,,,,1519.05,7.0
,Grease,European Thermodynamics Ltd,GCS-NSP15-100ML,Thermal Non-Silicone Putty 100 ml Syringe,1.5,,,,1533.35,250.0
,Grease,Parker Chomerics,65-02-GREASE50-0030,Thermal Silicone Grease 30cc Cartridge,5.0,,,,1551.88,75.0
,Grease,Bergquist Company,TGF3000SF-00-1500-50CC,"Thermal Interface Products Gap Filler, 2-Part, Sil-Free, Room Temp Cure, 3W/mK, 50ml Cartridge, TGF3000SF",3.0,,,,1583.4,125.0
,Grease,Parker Chomerics,65-02-GREASE70-0030,Thermal Silicone Grease 30cc Cartridge,7.0,,,,1595.43,75.0
,Grease,Chip Quik Inc.,TC1-200G,Thermal Silicone Compound 200 gram Jar,0.67,,,,1623.38,200.0
,Grease,t-Global Technology,TG-N8000-30,Thermal Non-Silicone Putty 30 gram Jar,8.0,,,,1631.5,30.0
,Grease,"Shiu Li Technology Co., Ltd.",G3380NA-120,Thermal Non-Silicone Grease 120 gram Cartridge,1.3,,,,1649.7,120.0
,Grease,Bergquist,GF3500S35-07-60-50CC,"Thermal Liquid Gap Filler, 2 Part 50cc Cartridge",3.6,,,,1674.4,125.0
,Grease,t-Global Technology,TG4040-D-30CC,Thermal Silicone Putty 30cc Syringe,3.0,,,,1722.83,75.0
,Grease,"Shiu Li Technology Co., Ltd.",S-PUTTY2-100,Thermal Silicone Putty 100 gram Cartridge,6.0,,,,1741.35,100.0
,Grease,Bergquist,GF3500S35-00-60-50CC,"Thermal Liquid Gap Filler, 2 Part 50cc Cartridge",3.6,,,,1753.7,125.0
,Grease,Parker Chomerics,65-00-GEL75VT-0010,Thermal Silicone Gel 10cc Syringe,7.5,,,,1754.68,25.0
,Grease,Parker Chomerics,65-02-GEL50TBL-0030,Thermal Silicone Gel 30cc Syringe,5.0,,,,1759.88,75.0
,Grease,Wakefield Thermal,GL-20-10,"Thermal Interface Products ulTIMiFlux Gel, 10cc Syringe, Pink, 20g/m Flow Rate, 0.004"", 3.5w/mK",3.5,,,,1770.6,25.0
,Grease,t-Global Technology,TG-N4000-30CC,Thermal Non-Silicone Putty 30cc Syringe,4.0,,,,1779.05,75.0
,Grease,Laird Technologies - Thermal Materials,A18835-01,Thermal Liquid Gap Filler 50cc Cartridge,5.4,,,,1783.93,125.0
,Grease,Chip Quik Inc.,TC4-20G,"Thermal Thermal Compound, Liquid Metal 20 gram Syringe",79.0,,,,1799.2,20.0
,Grease,Parker Chomerics,65-02-GEL50VT-0030,Thermal Silicone Gel 30cc Syringe,5.2,,,,1807.65,75.0
,Grease,MG Chemicals,8327GL6-30ML,Thermal Non-Silicone Gel 30 ml Cartridge,6.0,,,,1827.48,75.0
,Grease,"Shiu Li Technology Co., Ltd.",H-PUTTY2-100,Thermal Silicone Putty 100 gram Cartridge,6.0,,,,1833.0,100.0
,Grease,Chip Quik,TC4-20G,Thermal Interface Products Heat Sink Thermal Compound - Deep-Space Liquid Metal 79 W/mK 20g/3cc Syringe,79.0,,,,1847.63,20.0
,Grease,Parker Chomerics,65-02-GEL20-0030,Thermal Gel Gap Filler 30cc Cartridge,2.4,,,,1851.53,75.0
,Grease,"Shiu Li Technology Co., Ltd.",X-PUTTY-100-KIT,Thermal Silicone Putty 100 gram Cartridge,3.0,,,,1936.35,100.0
,Grease,Laird Technologies - Thermal Materials,A17170-01,Thermal Silicone Compound 75cc Cartridge,3.7,,,,1939.93,187.5
,Grease,Parker Chomerics,65-00-GEL75-0010,Thermal Silicone Gel 10cc Syringe,7.5,,,,1982.83,25.0
,Grease,"Shiu Li Technology Co., Ltd.",G3380D-100,Thermal Silicone Grease 100 gram Cartridge,6.0,,,,2072.7,100.0
,Grease,"Shiu Li Technology Co., Ltd.",EPDM20-135,"Thermal Liquid Gap Filler, 2 Part 50 ml Cartridges",2.2,,,,2077.4,125.0
,Grease,"Shiu Li Technology Co., Ltd.",N-PUTTY2-100,Thermal Non-Silicone Putty 100 gram Cartridge,5.0,,,,2138.5,100.0
,Grease,Chemtronics,CW7100,Thermal Silicone Grease 6.5 gram Syringe,5.6,,,,2210.65,6.5
,Grease,"Shiu Li Technology Co., Ltd.",PK223DM-110-KIT,"Thermal Liquid Gap Filler, 2 Part 110 gram Cartridge",2.0,,,,2218.13,110.0
,Grease,European Thermodynamics Ltd,GCS-018-GS-WE-1KG,Thermal Silicone Grease 1 kg Container,1.8,,,,2227.23,1000.0
,Grease,Wakefield Thermal,GL-08-10,"Thermal Interface Products ulTIMiFlux Gel, 10cc Syringe, Yellow, 8g/m Flow Rate, 0.015"", 2.4w/mK",2.4,,,,2231.78,25.0
,Grease,"Shiu Li Technology Co., Ltd.",S-PUTTY-100-KIT,Thermal Silicone Putty 100 gram Cartridge,3.5,,,,2241.85,100.0
,Grease,"Shiu Li Technology Co., Ltd.",N-PUTTY-100-KIT,Thermal Non-Silicone Putty 100 gram Cartridge,3.5,,,,2245.43,100.0
,Grease,"Shiu Li Technology Co., Ltd.",PK404DM-150,"Thermal Liquid Gap Filler, 2 Part 150 gram Cartridge",3.6,,,,2291.25,150.0
,Grease,"Shiu Li Technology Co., Ltd.",H-PUTTY-100-KIT,Thermal Silicone Putty 100 gram Cartridge,3.5,,,,2306.85,100.0
,Grease,Parker Chomerics,65-02-GEL75VT-0030,Thermal Silicone Gel 30cc Cartridge,7.5,,,,2346.83,75.0
,Grease,"Shiu Li Technology Co., Ltd.",G3380NC-100,Thermal Non-Silicone Grease 100 gram Cartridge,4.5,,,,2352.35,100.0
,Grease,Parker Chomerics,65-00-CIP60-0200,"Thermal Silicone Compound, 2 Part 200cc Cartridge",6.0,,,,2445.3,500.0
,Grease,MG Chemicals,8617-1P,Thermal Non-Silicone Grease 473 ml Jar,1.0,,,,2477.8,1182.5
,Grease,Bergquist,2456616,"Thermal Liquid Gap Filler, 2 Part 50cc Cartridge",3.5,,,,2515.08,125.0
,Grease,"Shiu Li Technology Co., Ltd.",SH-PUTTY3-100,Thermal Silicone Putty 100 gram Cartridge,8.0,,,,2600.0,100.0
,Grease,Parker Chomerics,65-02-GEL75-0030,Thermal Silicone Gel 30cc Syringe,7.5,,,,2652.33,75.0
,Grease,Laird Technologies - Thermal Materials,A16872-02,Thermal Liquid Gap Filler 75cc Cartridge,2.3,,,,2723.18,187.5
,Grease,MG Chemicals,8327GL3-180ML,Thermal Non-Silicone Gel 180 ml Cartridge,3.5,,,,2755.68,450.0
