MPN,Manufacturer,Category,Description,Thermal_Conductivity,Thickness,Width,Length,Price_THB
SILVGREASE10-PRO,StarTech.com,"Fans, Blowers, Thermal Management","Thermal Thermal Compound, Thermal Grease 10 gram Syringe",14.50W/m-K,,,,922.95
G3380B-130,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal,,,,,1220.63
H-PUTTY-100,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Silicone Putty 100 gram Cartridge,3.50W/m-K,,,,1243.62
U6-PRO-20G,Gelid Solutions LLC,"Fans, Blowers, Thermal Management",Thermal,,,,,1363.01
DTT04-75,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal,,,,,1378.13
8327GF41-50CC,MG Chemicals,"Fans, Blowers, Thermal Management",Thermal Silicone Gap Filler 50 ml Cartridges,4.10W/m-K,,,,1406.58
8463-7G,MG Chemicals,"Fans, Blowers, Thermal Management",Thermal Silicone Grease 7 gram Syringe,0.46W/m-K,,,,1472.31
GCS-NSP15-100ML,European Thermodynamics Ltd,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Putty 100 ml Syringe,1.50W/m-K,,,,1486.17
843WBU-55ML,MG Chemicals,"Fans, Blowers, Thermal Management",Thermal,,,,,1488.124
8349TFM-25ML,MG Chemicals,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part 25 ml Syringe",0.90W/m-K,,,,1555.16
GCS-018-GS-WE-1KG,European Thermodynamics Ltd,"Fans, Blowers, Thermal Management",Thermal Silicone Grease 1 kg Container,1.80W/m-K,,,,2158.7
PK404DM-150,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 150 gram Cartridge",3.60W/m-K,,,,2220.75
8349TFM-50ML,MG Chemicals,"Fans, Blowers, Thermal Management","Thermal Epoxy, 2 Part 50 ml Cartridges",0.90W/m-K,,,,2231.15
8617-1P,MG Chemicals,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Grease 473 ml Jar,1.00W/m-K,,,,2401.56
2456616,Bergquist,"Fans, Blowers, Thermal Management","Thermal Liquid Gap Filler, 2 Part 50cc Cartridge",3.50W/m-K,,,,2437.691
SH-PUTTY3-100,"Shiu Li Technology Co., Ltd.","Fans, Blowers, Thermal Management",Thermal Silicone Putty 100 gram Cartridge,8.00W/m-K,,,,2520.0
2166563,Bergquist,"Fans, Blowers, Thermal Management",Thermal,,,,,2580.23556
8327GL3-180ML,MG Chemicals,"Fans, Blowers, Thermal Management",Thermal Non-Silicone Gel 180 ml Cartridge,3.50W/m-K,,,,2670.89
